iter	Passed	Remaining
860	36519	5895
861	36558	5852
862	36600	5810
863	36642	5767
864	36686	5725
865	36726	5682
866	36764	5639
867	36807	5597
868	36844	5554
869	36887	5511
870	36930	5469
871	36970	5426
872	37006	5383
873	37046	5340
874	37089	5298
875	37129	5255
876	37170	5213
877	37213	5170
878	37256	5128
879	37298	5086
880	37340	5043
881	37372	5000
882	37415	4957
883	37456	4915
884	37495	4872
885	37535	4829
886	37580	4787
887	37621	4745
888	37661	4702
889	37703	4659
890	37746	4617
891	37786	4575
892	37830	4532
893	37872	4490
894	37916	4448
895	37964	4406
896	38009	4364
897	38058	4322
898	38104	4280
899	38143	4238
900	38187	4195
901	38229	4153
902	38270	4111
903	38313	4068
904	38350	4025
905	38391	3983
906	38434	3940
907	38487	3899
908	38529	3857
909	38570	3814
910	38610	3772
911	38650	3729
912	38691	3686
913	38733	3644
914	38775	3602
915	38813	3559
916	38857	3517
917	38899	3474
918	38937	3431
919	38978	3389
920	39022	3347
921	39064	3304
922	39107	3262
923	39150	3220
924	39190	3177
925	39231	3135
926	39275	3092
927	39315	3050
928	39355	3007
929	39400	2965
930	39439	2923
931	39485	2880
932	39526	2838
933	39564	2795
934	39605	2753
935	39640	2710
936	39685	2668
937	39726	2625
938	39769	2583
939	39811	2541
940	39855	2498
941	39908	2457
942	39951	2414
943	39992	2372
944	40032	2329
945	40071	2287
946	40115	2245
947	40158	2202
948	40198	2160
949	40242	2118
950	40286	2075
951	40327	2033
952	40370	1990
953	40413	1948
954	40453	1906
955	40493	1863
956	40534	1821
957	40579	1779
958	40620	1736
959	40661	1694
960	40703	1651
961	40748	1609
962	40793	1567
963	40836	1524
964	40878	1482
965	40921	1440
966	40966	1398
967	41008	1355
968	41050	1313
969	41093	1270
970	41135	1228
971	41179	1186
972	41220	1143
973	41261	1101
974	41299	1058
975	41331	1016
976	41374	974
977	41419	931
978	41461	889
979	41505	847
980	41548	804
981	41589	762
982	41630	719
983	41673	677
984	41716	635
985	41755	592
986	41795	550
987	41839	508
988	41881	465
989	41923	423
990	41965	381
991	42004	338
992	42048	296
993	42088	254
994	42130	211
995	42173	169
996	42214	127
997	42256	84
998	42298	42
999	42343	0
