iter	Accuracy	Logloss
129	0.9280725219	0.1842868894
130	0.9280725219	0.1839867102
131	0.9283697429	0.1839647584
132	0.9282211324	0.1836207416
133	0.9283697429	0.1834659549
134	0.9288155744	0.182188181
135	0.9288155744	0.1820457014
136	0.9286669639	0.1819911133
137	0.9288155744	0.181774935
138	0.9288155744	0.1813439542
139	0.9288155744	0.1811184657
140	0.9291127954	0.1808784514
141	0.9291127954	0.1807496754
142	0.9289641849	0.1804249531
143	0.9288155744	0.1803427311
144	0.9289641849	0.1801967318
145	0.9291127954	0.1800738796
146	0.9289641849	0.1799690045
147	0.9291127954	0.179831477
148	0.9298558478	0.1784647605
149	0.9305989003	0.177308408
150	0.9307475108	0.1766432922
151	0.9305989003	0.1754269982
152	0.9305989003	0.1752598855
153	0.9308961213	0.1750433424
154	0.9310447318	0.1749247402
155	0.9313419527	0.1746914921
156	0.9313419527	0.1745895451
157	0.9311933422	0.174492096
158	0.9311933422	0.1741197623
159	0.9311933422	0.1740559627
160	0.9313419527	0.1738724508
161	0.9310447318	0.1736491514
162	0.9308961213	0.173574074
163	0.9311933422	0.1731043934
164	0.9317877842	0.1726297418
165	0.9322336157	0.1721971025
166	0.9320850052	0.1721455814
167	0.9319363947	0.1720402959
168	0.9320850052	0.171971141
169	0.9322336157	0.1717176121
170	0.9322336157	0.1715290237
171	0.9320850052	0.1715029476
172	0.9323822262	0.1713938154
173	0.9326794472	0.17118934
174	0.9329766682	0.1709852045
175	0.9331252786	0.1707480894
176	0.9332738891	0.1706889409
177	0.9332738891	0.1706401885
178	0.9332738891	0.1705412115
179	0.9331252786	0.1704203531
180	0.9331252786	0.1703556915
181	0.9332738891	0.1702689172
182	0.9332738891	0.1702340274
183	0.9331252786	0.1699256286
184	0.9331252786	0.1698323973
185	0.9334224996	0.1696899727
186	0.9335711101	0.1696202168
187	0.9335711101	0.1695174892
188	0.9334224996	0.1694484834
189	0.9335711101	0.1693392302
190	0.9334224996	0.169187086
191	0.9332738891	0.1691408231
192	0.9332738891	0.1691395735
193	0.9332738891	0.1690254359
194	0.9332738891	0.1687070053
195	0.9331252786	0.1684651171
196	0.9332738891	0.1684348125
197	0.9335711101	0.168126383
198	0.9335711101	0.168065742
199	0.9337197206	0.1680512374
200	0.9334224996	0.1679555351
201	0.9334224996	0.167910988
202	0.9334224996	0.1678356544
203	0.9332738891	0.1677914481
204	0.9334224996	0.1677251284
205	0.9334224996	0.1676752139
206	0.9332738891	0.1675808265
207	0.9332738891	0.1675369743
208	0.9334224996	0.1674403908
209	0.9335711101	0.1674000598
210	0.9335711101	0.167301286
211	0.9337197206	0.1672086688
212	0.9338683311	0.167120294
213	0.9338683311	0.1670225043
214	0.9338683311	0.1669761329
215	0.9335711101	0.1668178112
216	0.9337197206	0.166759179
217	0.9338683311	0.1666912185
218	0.9338683311	0.1666333413
219	0.9346113836	0.1660228163
220	0.9346113836	0.1659793916
221	0.9347599941	0.1659447436
222	0.9347599941	0.1658836447
223	0.9347599941	0.1651573843
224	0.935057215	0.1648079108
225	0.935057215	0.164760665
226	0.935057215	0.164695172
227	0.935057215	0.16464105
228	0.935057215	0.1646013392
229	0.935057215	0.1646013054
230	0.9349086045	0.1645260467
231	0.9349086045	0.1644678527
232	0.9352058255	0.1641110614
233	0.935057215	0.1640901815
234	0.935057215	0.1640087268
235	0.9349086045	0.1639691526
236	0.935057215	0.1639132116
237	0.935057215	0.163912855
238	0.935057215	0.1638284642
239	0.935057215	0.1637779846
240	0.935354436	0.1636763115
241	0.9352058255	0.1636252201
242	0.9352058255	0.1635392326
243	0.9355030465	0.1634572238
244	0.9355030465	0.1632988786
245	0.9355030465	0.1632651979
246	0.935651657	0.163231104
247	0.935651657	0.1630876148
248	0.935651657	0.1630294208
249	0.9358002675	0.1628256321
250	0.9360974885	0.1621211033
251	0.9360974885	0.1620414604
252	0.936246099	0.1617950543
253	0.9363947095	0.1617220555
254	0.9363947095	0.1607684482
255	0.9366919305	0.1605321656
256	0.9366919305	0.1605037786
257	0.93654332	0.1603283717
258	0.93654332	0.1602734886
259	0.9363947095	0.160071506
260	0.9363947095	0.1600423835
261	0.9363947095	0.1599952005
262	0.9363947095	0.1599534862
263	0.9363947095	0.1599278934
264	0.9366919305	0.1596772372
265	0.9368405409	0.1595822785
266	0.9369891514	0.1595280472
267	0.9369891514	0.1594322195
268	0.9369891514	0.159417135
269	0.9366919305	0.1593290668
270	0.9368405409	0.1593025568
271	0.9368405409	0.1592438657
272	0.9368405409	0.1592385887
273	0.9371377619	0.1591659924
274	0.9371377619	0.1591192034
275	0.9371377619	0.1590064853
276	0.9371377619	0.1588411635
277	0.9374349829	0.1587165792
278	0.9375835934	0.1586237651
279	0.9377322039	0.1586137486
280	0.9374349829	0.1585730426
281	0.9377322039	0.1585517329
282	0.9378808144	0.158521466
283	0.9380294249	0.158349657
284	0.9378808144	0.1582049624
285	0.9380294249	0.1581486554
286	0.9380294249	0.1581057427
287	0.9381780354	0.158063086
288	0.9383266459	0.1580224885
289	0.9383266459	0.1579414256
290	0.9383266459	0.1579102627
291	0.9384752564	0.1578829399
292	0.9384752564	0.1578107451
293	0.9384752564	0.1577873842
294	0.9381780354	0.1576109487
295	0.9381780354	0.157598639
296	0.9381780354	0.1575362717
297	0.9381780354	0.1575341268
298	0.9383266459	0.15722207
299	0.9384752564	0.1570848783
300	0.9386238668	0.1569373003
301	0.9384752564	0.1568801281
302	0.9386238668	0.1568285262
303	0.9386238668	0.1568038289
304	0.9389210878	0.1566115331
305	0.9390696983	0.1565804885
306	0.9390696983	0.1565363555
307	0.9390696983	0.1564556415
308	0.9398127508	0.1558072186
309	0.9396641403	0.1557351128
310	0.9398127508	0.1557096454
311	0.9399613613	0.1555897274
312	0.9398127508	0.1554465788
313	0.9398127508	0.1554411895
314	0.9401099718	0.1549027188
315	0.9399613613	0.1548809632
316	0.9396641403	0.1544770451
317	0.9396641403	0.1543465146
318	0.9396641403	0.1543141588
319	0.9393669193	0.1539433837
320	0.9393669193	0.1538704678
321	0.9393669193	0.1538666849
322	0.9398127508	0.1536752644
323	0.9396641403	0.1536239924
324	0.9396641403	0.1535921638
325	0.9395155298	0.1534319123
326	0.9398127508	0.1533914442
327	0.9396641403	0.1533461693
328	0.9404071927	0.1528227188
329	0.9402585823	0.1527007403
330	0.9405558032	0.1525586941
331	0.9398127508	0.1521782854
332	0.9399613613	0.1519766735
333	0.9399613613	0.1519622033
334	0.9399613613	0.1519124983
335	0.9399613613	0.1518774113
336	0.9398127508	0.1518300827
337	0.9396641403	0.1517850976
338	0.9396641403	0.1517296232
339	0.9399613613	0.1516643339
340	0.9399613613	0.1516505662
341	0.9399613613	0.1515282136
342	0.9407044137	0.1511766718
343	0.9407044137	0.1507308079
344	0.9407044137	0.1507180981
345	0.9407044137	0.1506899845
346	0.9407044137	0.1506562212
347	0.9407044137	0.1506485621
348	0.9408530242	0.1505555219
349	0.9408530242	0.1505331162
350	0.9408530242	0.1504835413
351	0.9410016347	0.150372787
352	0.9410016347	0.1503165986
353	0.9410016347	0.1502896203
354	0.9410016347	0.1502456366
355	0.9410016347	0.1502130791
356	0.9411502452	0.1500914206
357	0.9410016347	0.1500362523
358	0.9411502452	0.1499848626
359	0.9411502452	0.1499475387
360	0.9412988557	0.1497896722
361	0.9412988557	0.1496051265
362	0.9412988557	0.149483672
363	0.9411502452	0.148503736
364	0.9411502452	0.1484789418
365	0.9408530242	0.1484616628
366	0.9410016347	0.1483246576
367	0.9415960767	0.1480128858
368	0.9414474662	0.1479915227
369	0.9415960767	0.1471842465
370	0.9415960767	0.1470830095
371	0.9415960767	0.1470523468
372	0.9417446872	0.1470109065
373	0.9415960767	0.1469757941
374	0.9415960767	0.1468731075
375	0.9415960767	0.1468330461
376	0.9415960767	0.1468116414
377	0.9417446872	0.1463764428
378	0.9418932977	0.1463146427
379	0.9418932977	0.1462988918
380	0.9420419082	0.1462045689
381	0.9418932977	0.146120146
382	0.9420419082	0.1461050015
383	0.9420419082	0.1459703087
384	0.9418932977	0.1459411017
385	0.9421905187	0.1453643837
386	0.9421905187	0.1453093308
387	0.9420419082	0.1452752609
388	0.9420419082	0.1452116375
389	0.9421905187	0.1451965255
390	0.9420419082	0.1451470817
391	0.9421905187	0.1450908866
392	0.9420419082	0.1450665104
393	0.9424877396	0.1450227196
394	0.9424877396	0.1447595507
395	0.9424877396	0.1447524974
396	0.9424877396	0.1447252934
397	0.9423391291	0.1446308471
398	0.9427849606	0.1445479519
399	0.9427849606	0.1445166279
400	0.9426363501	0.1437868952
401	0.9427849606	0.143767725
402	0.9426363501	0.1437394938
403	0.9424877396	0.1437119455
404	0.9426363501	0.1436626919
405	0.9427849606	0.1436052056
406	0.9427849606	0.1435808144
407	0.9429335711	0.143487343
408	0.9427849606	0.1434273192
409	0.9427849606	0.1433876104
410	0.9426363501	0.14335106
411	0.9427849606	0.143315028
412	0.9429335711	0.1432411113
413	0.9435280131	0.1431015148
414	0.9435280131	0.1430895324
415	0.9435280131	0.1430552621
416	0.9436766236	0.1429913371
417	0.9439738446	0.1429551783
418	0.9438252341	0.1425389592
419	0.9439738446	0.1424552105
420	0.944122455	0.1424072228
421	0.944122455	0.142398721
422	0.944716897	0.1422441657
423	0.9451627285	0.141795723
424	0.9454599495	0.1417231267
425	0.9454599495	0.1416157719
426	0.9454599495	0.1415742548
427	0.945311339	0.1413819974
428	0.9451627285	0.141250728
429	0.9451627285	0.1412429274
430	0.9451627285	0.1406105185
431	0.9451627285	0.1406048978
432	0.9451627285	0.1405493706
433	0.9451627285	0.1404871081
434	0.9454599495	0.1402794503
435	0.9454599495	0.1402786069
436	0.945311339	0.1402412647
437	0.9454599495	0.1402341357
438	0.9454599495	0.1401963618
439	0.9451627285	0.1401358828
440	0.945311339	0.1400821203
441	0.9451627285	0.1397215239
442	0.945311339	0.1395957257
443	0.945311339	0.1394513573
444	0.9451627285	0.1394067325
445	0.9451627285	0.1393760162
446	0.9451627285	0.1393110391
447	0.9451627285	0.1392929568
448	0.945014118	0.1385951647
449	0.945311339	0.1382830462
450	0.9451627285	0.1382579115
451	0.945311339	0.1381892914
452	0.945311339	0.1381797757
453	0.945311339	0.1381369734
454	0.9454599495	0.138029652
455	0.9454599495	0.1379789946
456	0.9454599495	0.1379660241
457	0.9454599495	0.1379593827
458	0.945311339	0.1374164306
459	0.9457571705	0.1370715781
460	0.9459057809	0.1370504617
461	0.9459057809	0.1366784923
462	0.9457571705	0.1362196518
463	0.9462030019	0.1359565534
464	0.9465002229	0.1359314668
465	0.9467974439	0.1356221001
466	0.9466488334	0.1353902162
467	0.9466488334	0.1353763163
468	0.9467974439	0.135327815
469	0.9467974439	0.1350978292
470	0.9466488334	0.1350787594
471	0.9465002229	0.1345419937
472	0.9466488334	0.1344742854
473	0.9465002229	0.1344209545
474	0.9466488334	0.1343991053
475	0.9466488334	0.134356894
476	0.9465002229	0.1343217273
477	0.9465002229	0.1342553603
478	0.9466488334	0.1342327924
479	0.9466488334	0.134227628
480	0.9466488334	0.1341873045
481	0.9469460544	0.1339107466
482	0.9469460544	0.1338360369
483	0.9469460544	0.1338006317
484	0.9470946649	0.1337404886
485	0.9476891069	0.1335406612
486	0.9479863278	0.1330409361
487	0.9481349383	0.1330087375
488	0.9481349383	0.1330028048
489	0.9481349383	0.1329350505
490	0.9482835488	0.1328721016
491	0.9482835488	0.1328571097
492	0.9479863278	0.1327870378
493	0.9479863278	0.1327144089
494	0.9481349383	0.1326724204
495	0.9481349383	0.1326437768
496	0.9481349383	0.1326251018
497	0.9482835488	0.1325563651
498	0.9484321593	0.1325133272
499	0.9482835488	0.1324387338
500	0.9482835488	0.1324359227
501	0.9481349383	0.1321525834
502	0.9482835488	0.1321408242
503	0.9482835488	0.1320732876
504	0.9487293803	0.1320183919
505	0.9484321593	0.1319309035
506	0.9482835488	0.1318909587
507	0.9482835488	0.1318219259
508	0.9482835488	0.1318107122
509	0.9481349383	0.1317551907
510	0.9481349383	0.1317026488
511	0.9484321593	0.1316700127
512	0.9484321593	0.1316258434
513	0.9485807698	0.1315935434
514	0.9488779908	0.1315321859
515	0.9487293803	0.1315198862
516	0.9487293803	0.1314506511
517	0.9487293803	0.1314238696
518	0.9487293803	0.131371238
519	0.9487293803	0.1312926909
520	0.9485807698	0.1312220803
521	0.9490266013	0.1310055197
522	0.9490266013	0.1309634515
523	0.9488779908	0.1309358037
524	0.9491752118	0.1308712271
525	0.9490266013	0.1306639283
526	0.9491752118	0.1306247261
527	0.9490266013	0.1305776898
528	0.9490266013	0.1305315406
529	0.9490266013	0.13048766
530	0.9488779908	0.1304591508
531	0.9488779908	0.1304490246
532	0.9491752118	0.1303969919
533	0.9490266013	0.1303508316
534	0.9490266013	0.1303178418
535	0.9496210432	0.1301068897
536	0.9494724328	0.1301008203
537	0.9496210432	0.1300405824
538	0.9496210432	0.129999397
539	0.9493238223	0.1299390545
540	0.9493238223	0.1299202433
541	0.9496210432	0.1298161214
542	0.9499182642	0.1298065529
543	0.9496210432	0.129789934
544	0.9497696537	0.129707376
545	0.9494724328	0.1296510688
546	0.9497696537	0.129574468
547	0.9497696537	0.1295315672
548	0.9497696537	0.1294598083
549	0.9497696537	0.1294187
550	0.9497696537	0.1293653125
551	0.9496210432	0.129342383
552	0.9500668747	0.1290598829
553	0.9500668747	0.1289966039
554	0.9502154852	0.1289502166
555	0.9502154852	0.1289331907
556	0.9503640957	0.1289157159
557	0.9503640957	0.1287491038
558	0.9505127062	0.1286797951
559	0.9505127062	0.1286390835
560	0.9505127062	0.1286249375
561	0.9506613167	0.1285751117
562	0.9508099272	0.1284403828
563	0.9509585377	0.1284020389
564	0.9509585377	0.1283683475
565	0.9508099272	0.1283462843
566	0.9506613167	0.1283046478
567	0.9506613167	0.1282828505
568	0.9511071482	0.1280691433
569	0.9511071482	0.1280280439
570	0.9511071482	0.127705048
571	0.9509585377	0.1276966567
572	0.9511071482	0.1276471979
573	0.9511071482	0.1275429849
574	0.9512557587	0.1274748435
575	0.9512557587	0.1274591111
576	0.9511071482	0.1274065861
577	0.9512557587	0.1273645485
578	0.9514043691	0.127352621
579	0.9512557587	0.127314345
580	0.9512557587	0.1273064804
581	0.9512557587	0.1272903633
582	0.9512557587	0.1272588179
583	0.9515529796	0.127190109
584	0.9517015901	0.1271539477
585	0.9517015901	0.1271396418
586	0.9518502006	0.1268774164
587	0.9518502006	0.1268675064
588	0.9517015901	0.1268292659
589	0.9515529796	0.1268163206
590	0.9517015901	0.1267580465
591	0.9517015901	0.1262911737
592	0.9515529796	0.1261539697
593	0.9515529796	0.1261387758
594	0.9515529796	0.1261227434
595	0.9515529796	0.1261129198
596	0.9515529796	0.1260738346
597	0.9517015901	0.1259895755
598	0.9517015901	0.1259640866
599	0.9515529796	0.1259346904
600	0.9518502006	0.125896855
601	0.9519988111	0.1258554134
602	0.9519988111	0.1257730021
603	0.9519988111	0.1254413456
604	0.9518502006	0.1254108192
605	0.9517015901	0.1253705402
606	0.9517015901	0.1252968579
607	0.9517015901	0.125279803
608	0.9515529796	0.1251880004
609	0.9514043691	0.1251477531
610	0.9514043691	0.1250949557
611	0.9514043691	0.1250946172
612	0.9517015901	0.1249684567
613	0.9517015901	0.1249540114
614	0.9518502006	0.124914131
615	0.9519988111	0.1248841802
616	0.9518502006	0.1248400857
617	0.9521474216	0.1248327077
618	0.9521474216	0.1248041516
619	0.9519988111	0.1247949018
620	0.9521474216	0.1247484659
621	0.9522960321	0.1247103753
622	0.9522960321	0.1245855082
623	0.9522960321	0.1245784547
624	0.9522960321	0.1243613044
625	0.9524446426	0.1242835234
626	0.9522960321	0.1242078794
627	0.9527418636	0.1241043757
628	0.9527418636	0.1240271111
629	0.9528904741	0.1239918821
630	0.9533363055	0.123834622
631	0.953484916	0.1238195279
632	0.9533363055	0.1237692007
633	0.9533363055	0.1237528264
634	0.9533363055	0.123744227
635	0.9533363055	0.1237228744
636	0.953484916	0.1236770486
637	0.953484916	0.1236425181
638	0.953484916	0.1236424286
639	0.953484916	0.1236005574
640	0.953484916	0.1235791273
641	0.953484916	0.1235234549
642	0.953484916	0.1235133098
643	0.9533363055	0.1235034513
644	0.9533363055	0.1234467717
645	0.953484916	0.1234110648
646	0.953484916	0.1233938154
647	0.953782137	0.1233757369
648	0.953782137	0.1233519982
649	0.953782137	0.1233320867
650	0.953782137	0.1233163242
651	0.953782137	0.1232953792
652	0.953782137	0.1232856844
653	0.953782137	0.123264002
654	0.953782137	0.1232489015
655	0.9536335265	0.1231917863
656	0.9536335265	0.1231715014
657	0.9536335265	0.1229936539
658	0.9536335265	0.1229870932
659	0.9533363055	0.1229308546
660	0.9533363055	0.122918172
661	0.9533363055	0.1228934383
662	0.9533363055	0.1225833957
663	0.9533363055	0.122580784
664	0.9533363055	0.1224685424
665	0.9533363055	0.1222054022
666	0.9536335265	0.1218897325
667	0.9536335265	0.1218268461
668	0.9536335265	0.1217779513
669	0.9536335265	0.1217677679
670	0.9536335265	0.1217342105
671	0.9536335265	0.1217106259
672	0.9539307475	0.1216165158
673	0.9539307475	0.1215659132
674	0.953782137	0.1215123689
675	0.9536335265	0.1214849266
676	0.9536335265	0.1214203853
677	0.9536335265	0.121402945
678	0.9536335265	0.1213883633
679	0.9536335265	0.1213681432
680	0.9536335265	0.1213526901
681	0.9536335265	0.1213350413
682	0.9539307475	0.1212292552
683	0.9539307475	0.1212033826
684	0.9539307475	0.1211935709
685	0.9539307475	0.1211766153
686	0.9539307475	0.1211746091
687	0.9539307475	0.1211722734
688	0.9539307475	0.1211552413
689	0.954079358	0.1211300527
690	0.954079358	0.1210719101
691	0.954079358	0.1210110925
692	0.9539307475	0.1209842847
693	0.9539307475	0.1209664995
694	0.954079358	0.1208716674
695	0.954079358	0.1208228112
696	0.954079358	0.1208157061
697	0.954079358	0.1207898259
698	0.954079358	0.1207876485
699	0.954079358	0.1207366638
700	0.954079358	0.1207272708
701	0.954376579	0.1204590569
702	0.954376579	0.120404977
703	0.9542279685	0.1203436695
704	0.954376579	0.1202197699
705	0.9545251895	0.1201786751
706	0.9545251895	0.1201765383
707	0.9545251895	0.1201118643
708	0.9545251895	0.1199167369
709	0.9545251895	0.1199167349
710	0.9546738	0.1199067004
711	0.9546738	0.1198981309
712	0.9546738	0.1197780279
713	0.9548224105	0.1197608398
714	0.9548224105	0.119738896
715	0.954971021	0.1195363196
716	0.9551196314	0.1194772674
717	0.9551196314	0.1194643427
718	0.9551196314	0.1194526162
719	0.9551196314	0.1194032336
720	0.9551196314	0.1193494875
721	0.9551196314	0.1193206646
722	0.9551196314	0.1192717671
723	0.9552682419	0.1192338284
724	0.9551196314	0.1192125864
725	0.9554168524	0.1191276993
726	0.9555654629	0.1191107633
727	0.9554168524	0.1190601178
728	0.9554168524	0.1188168888
729	0.9552682419	0.1187848193
730	0.9552682419	0.1187229999
731	0.9554168524	0.1186768952
732	0.9554168524	0.1186611751
733	0.9554168524	0.1186493693
734	0.9554168524	0.1186456376
735	0.9554168524	0.118631849
736	0.9554168524	0.1185984187
737	0.9557140734	0.1185098241
738	0.9557140734	0.1184855259
739	0.9561599049	0.1183942823
740	0.9560112944	0.1182945067
741	0.9563085154	0.118233676
742	0.9561599049	0.1181627999
743	0.9561599049	0.1181475486
744	0.9563085154	0.1181398118
745	0.9563085154	0.118102834
746	0.9563085154	0.1180982298
747	0.9563085154	0.1180741607
748	0.9561599049	0.118005038
749	0.9561599049	0.1179965358
750	0.9563085154	0.1179741282
751	0.9564571259	0.1179594859
752	0.9564571259	0.1178935013
753	0.9564571259	0.1178705454
754	0.9564571259	0.1178297908
755	0.9564571259	0.1178205466
756	0.9563085154	0.1177132979
757	0.9564571259	0.117647093
758	0.9564571259	0.1176427298
759	0.9563085154	0.1175850973
760	0.9563085154	0.1175759006
761	0.9564571259	0.1175592448
762	0.9564571259	0.1175318882
763	0.9564571259	0.1174988081
764	0.9564571259	0.1172627394
765	0.9563085154	0.1172093564
766	0.9566057364	0.1170649047
767	0.9564571259	0.1170087078
768	0.9564571259	0.1169785745
769	0.9564571259	0.1169766908
770	0.9564571259	0.1169671726
771	0.9564571259	0.1169432779
772	0.9564571259	0.1169294631
773	0.9564571259	0.1168765427
774	0.9564571259	0.1168745077
775	0.9563085154	0.1168447515
776	0.9563085154	0.1168397292
777	0.9564571259	0.1167916987
778	0.9566057364	0.116712029
779	0.9564571259	0.1167068654
780	0.9563085154	0.1165970832
781	0.9561599049	0.116546609
782	0.9566057364	0.1165066143
783	0.9563085154	0.1164646394
784	0.9566057364	0.1164376449
785	0.9567543469	0.1164126834
786	0.9567543469	0.1163804457
787	0.9569029573	0.1163629802
788	0.9569029573	0.1163356235
789	0.9569029573	0.11631064
790	0.9567543469	0.1162290316
791	0.9567543469	0.1162121931
792	0.9567543469	0.1161774773
793	0.9567543469	0.1161151963
794	0.9567543469	0.1161066459
795	0.9567543469	0.1160971092
796	0.9567543469	0.1160714329
797	0.9567543469	0.1160604965
798	0.9570515678	0.1159399794
799	0.9570515678	0.1158896416
800	0.9570515678	0.1158755831
801	0.9570515678	0.1158332755
802	0.9570515678	0.1158118216
803	0.9570515678	0.1157862247
804	0.9570515678	0.1157732608
805	0.9570515678	0.1157543299
806	0.9569029573	0.1157397866
807	0.9570515678	0.115729529
808	0.9570515678	0.1156967406
809	0.9570515678	0.1156267133
810	0.9573487888	0.115546932
811	0.9573487888	0.1155223221
812	0.9573487888	0.1154955539
813	0.9572001783	0.1153804679
814	0.9573487888	0.115315985
815	0.9573487888	0.1152583074
816	0.9573487888	0.11525461
817	0.9573487888	0.1152153533
818	0.9574973993	0.115187818
819	0.9572001783	0.115137625
820	0.9573487888	0.1150549111
821	0.9573487888	0.1150395809
822	0.9572001783	0.1150151545
823	0.9572001783	0.1150096546
824	0.9572001783	0.1149691562
825	0.9572001783	0.1149605181
826	0.9572001783	0.1149604947
827	0.9574973993	0.1148094604
828	0.9574973993	0.1147600733
829	0.9574973993	0.1147405929
830	0.9574973993	0.1147086305
831	0.9574973993	0.1146963712
832	0.9573487888	0.1146663366
833	0.9573487888	0.114639692
834	0.9573487888	0.1146259431
835	0.9573487888	0.1146104893
836	0.9574973993	0.1145315752
837	0.9574973993	0.1145294626
838	0.9574973993	0.1145208755
839	0.9574973993	0.1144950145
840	0.9574973993	0.114495012
841	0.9572001783	0.1144369285
842	0.9574973993	0.1143979548
843	0.9573487888	0.1143665341
844	0.9574973993	0.1143366379
845	0.9574973993	0.114172883
846	0.9574973993	0.1141501717
847	0.9574973993	0.1141459715
848	0.9574973993	0.1140995179
849	0.9576460098	0.1140420931
850	0.9576460098	0.1140255064
851	0.9574973993	0.1140062045
852	0.9574973993	0.1139955143
853	0.9576460098	0.1139737142
854	0.9576460098	0.1139417102
855	0.9574973993	0.1138374435
856	0.9576460098	0.1138237283
857	0.9576460098	0.113819434
858	0.9574973993	0.1137964461
859	0.9574973993	0.1137683798
860	0.9574973993	0.1137604781
861	0.9574973993	0.1135394604
862	0.9574973993	0.1134989367
863	0.9573487888	0.113454606
864	0.9576460098	0.1133873202
865	0.9574973993	0.1133120132
866	0.9576460098	0.1132712496
867	0.9574973993	0.1131866121
868	0.9574973993	0.1131865771
869	0.9574973993	0.1131723528
870	0.9576460098	0.1130063303
871	0.9577946203	0.1130042129
872	0.9577946203	0.1129417469
873	0.9579432308	0.1129139948
874	0.9576460098	0.1129085415
875	0.9579432308	0.1128845701
876	0.9577946203	0.1128460976
877	0.9577946203	0.1128341485
878	0.9585376728	0.1127685101
879	0.9585376728	0.1127607284
880	0.9585376728	0.1127607251
881	0.9583890623	0.1127494573
882	0.9583890623	0.1127223496
883	0.9580918413	0.1126371351
