Home Ownership,Years in current job,Tax Liens,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Bankruptcies,Purpose,Term,Current Loan Amount,Credit Score,Annual Income,Number of Open Accounts,Years of Credit History,Current Credit Balance,Monthly Debt,Credit Default
Home Mortgage,10+ years,0.0,427658.0,0.0,0.0,0.0,other,Short Term,309606.0,715.0,1009413.0,11.0,21.1,210900.0,8580.0,0
Home Mortgage,5 years,0.0,475618.0,0.0,0.0,0.0,home improvements,Short Term,309606.0,731.0,1224657.322168338,9.0,15.7,66576.0,19859.0,1
Home Mortgage,< 1 year,0.0,464024.0,0.0,0.0,0.0,debt consolidation,Long Term,431640.0,7080.0,1006506.0,12.0,11.9,310175.0,28685.0,1
Rent,3 years,0.0,791978.0,0.0,0.0,0.0,debt consolidation,Short Term,674652.0,731.0,1695019.08452459,12.0,17.0,542393.0,31480.0,1
Home Mortgage,10+ years,0.0,1049268.0,0.0,24.0,0.0,debt consolidation,Long Term,309364.0,687.0,1908360.0,8.0,20.5,713164.9999999999,15076.0,0
Rent,10+ years,0.0,403634.0,0.0,34.0,0.0,debt consolidation,Short Term,309606.0,741.0,596771.0,9.0,24.0,73910.00000000003,4063.0,0
Rent,4 years,0.0,215446.0,0.0,0.0,0.0,debt consolidation,Short Term,222266.0,701.0,739043.0,10.0,17.0,111644.0,12502.0,0
Own Home,5 years,0.0,636878.0,0.0,0.0,0.0,other,Long Term,216062.0,642.0,1082278.0,14.0,15.6,315723.0,27869.0,1
Rent,10+ years,0.0,1065350.0,0.0,0.0,0.0,debt consolidation,Long Term,676346.0,586.0,1330798.0,8.0,23.1,574123.0,13863.0,1
Home Mortgage,10+ years,0.0,411884.0,1.0,74.0,1.0,other,Short Term,174438.0,731.0,1200095.3439315478,17.0,21.0,139441.0,14655.0,0
Home Mortgage,8 years,0.0,475618.0,0.0,0.0,0.0,debt consolidation,Long Term,775698.0,6810.0,2497664.0,11.0,28.5,208449.0,16009.0,1
Home Mortgage,10+ years,0.0,475618.0,0.0,42.0,0.0,other,Short Term,331056.0,728.0,1734529.0,8.0,15.6,208449.0,16009.0,0
Home Mortgage,2 years,0.0,549626.0,0.0,7.0,0.0,debt consolidation,Short Term,309694.0,734.0,1300208.0,6.0,15.7,108699.0,13002.0,1
Home Mortgage,7 years,0.0,776160.0,0.0,0.0,0.0,debt consolidation,Long Term,542080.0,660.0,1226583.0,15.0,12.2,350569.0,16048.0,0
Rent,3 years,0.0,227216.0,0.0,0.0,0.0,take a trip,Short Term,110286.0,732.0,1142964.0,9.0,11.9,166801.0,10572.0,1
Home Mortgage,5 years,0.0,319418.0,0.0,0.0,0.0,debt consolidation,Short Term,160842.0,731.0,1085140.9281712133,7.0,19.1,191995.0,9016.0,1
Home Mortgage,10+ years,0.0,988988.0,0.0,0.0,0.0,debt consolidation,Long Term,629310.0,731.0,1662063.9590621353,8.0,15.4,731139.0,26738.0,0
Home Mortgage,3 years,0.0,327426.0,0.0,0.0,0.0,other,Short Term,134640.0,748.0,1453500.0,6.0,12.5,93309.0,9145.0,0
Rent,10+ years,0.0,354332.0,0.0,46.0,0.0,debt consolidation,Long Term,257796.0,713.0,862733.0,9.0,25.8,244207.0,23725.0,1
Rent,2 years,0.0,520146.0,0.0,29.0,0.0,debt consolidation,Short Term,437052.0,747.0,2415698.0,8.0,15.7,431699.0,32411.0,0
Own Home,10+ years,0.0,475618.0,0.0,0.0,0.0,buy a car,Short Term,85954.0,646.0,1170590.0,10.0,17.0,67203.00000000003,16009.0,1
Home Mortgage,5 years,0.0,915596.0,0.0,25.0,0.0,debt consolidation,Short Term,309606.0,737.0,741304.0,9.0,19.4,291004.0,8043.0,0
Rent,5 years,0.0,475618.0,0.0,68.0,0.0,debt consolidation,Short Term,178442.0,731.0,1198664.9639662332,10.0,15.0,208449.0,16009.0,1
Home Mortgage,10+ years,0.0,475618.0,0.0,0.0,0.0,debt consolidation,Short Term,443212.0,735.0,1170590.0,12.0,10.8,766536.0,16009.0,0
Rent,4 years,0.0,176330.0,0.0,0.0,0.0,other,Short Term,139898.0,738.0,951330.0,6.0,17.0,41876.0,16009.0,1
Home Mortgage,8 years,0.0,1131504.0,0.0,0.0,0.0,debt consolidation,Long Term,469524.0,688.0,2124067.0,18.0,23.6,651795.0,29560.0,1
Rent,1 year,0.0,186626.0,0.0,0.0,0.0,business loan,Long Term,482548.0,733.0,1058699.0,13.0,29.9,123291.0,7737.0,1
Home Mortgage,< 1 year,0.0,1250392.0,0.0,12.0,0.0,debt consolidation,Short Term,268444.0,733.0,1448940.0,10.0,20.0,387676.0,19440.0,1
Rent,6 years,0.0,644886.0,0.0,0.0,0.0,debt consolidation,Long Term,384296.0,690.0,755364.0,17.0,21.0,152608.0,21654.0,1
Rent,10+ years,0.0,1348512.0,0.0,63.0,0.0,debt consolidation,Long Term,451484.0,718.0,1088548.0,12.0,30.300000000000004,682461.0,26397.0,1
Own Home,10+ years,0.0,193380.0,0.0,50.0,0.0,debt consolidation,Short Term,309606.0,700.0,1170590.0,6.0,24.5,115748.0,4717.0,0
Home Mortgage,10+ years,0.0,204358.0,1.0,0.0,1.0,medical bills,Long Term,371030.0,707.0,1092101.0,10.0,19.3,49951.0,13378.0,0
Home Mortgage,10+ years,0.0,877932.0,0.0,0.0,0.0,debt consolidation,Short Term,343794.0,731.0,1676133.578634845,13.0,19.7,259312.0,35209.0,1
Home Mortgage,5 years,0.0,129514.0,0.0,19.0,0.0,debt consolidation,Short Term,445720.0,740.0,1539760.0,6.0,20.1,208449.0,24380.0,0
Home Mortgage,10+ years,0.0,719334.0,0.0,13.0,0.0,debt consolidation,Short Term,262174.0,6890.0,1245051.0,17.0,17.8,370880.0,33616.0,1
Rent,2 years,0.0,194172.0,0.0,0.0,0.0,debt consolidation,Short Term,348876.0,721.0,1562959.0,8.0,27.4,119548.0,11449.0,0
Rent,1 year,0.0,261624.0,0.0,0.0,0.0,debt consolidation,Short Term,76406.0,750.0,1170590.0,10.0,19.2,85177.0,16009.0,0
Home Mortgage,10+ years,0.0,413204.0,0.0,0.0,0.0,debt consolidation,Short Term,177892.0,744.0,2150990.0,13.0,17.5,136325.0,27066.0,1
Rent,10+ years,0.0,291742.0,1.0,0.0,1.0,other,Short Term,218702.0,714.0,868851.0,10.0,17.0,113392.0,20925.0,0
Own Home,4 years,0.0,475618.0,0.0,0.0,0.0,debt consolidation,Short Term,753588.0,745.0,1170590.0,10.0,17.5,208449.0,16009.0,0
Home Mortgage,10+ years,0.0,421388.0,0.0,29.0,0.0,other,Short Term,89518.0,747.0,1170590.0,15.0,30.5,102619.0,17998.0,0
Rent,3 years,0.0,1054592.0,0.0,39.0,0.0,debt consolidation,Short Term,331298.0,724.0,1716669.0,10.0,22.9,418969.0,20600.0,1
Rent,4 years,0.0,181192.0,0.0,32.0,0.0,other,Short Term,148478.0,7040.0,1791472.0,6.0,9.8,97793.0,7674.0,1
Home Mortgage,10+ years,0.0,1161248.0,0.0,0.0,0.0,debt consolidation,Short Term,194854.0,742.0,1589331.0,16.0,15.7,439261.0,12715.0,0
Rent,7 years,0.0,393162.0,0.0,0.0,0.0,other,Short Term,109868.0,704.0,1613062.0,9.0,22.3,125628.0,20298.0,0
Rent,5 years,0.0,287034.0,0.0,0.0,0.0,debt consolidation,Long Term,258940.0,658.0,823669.0,10.0,14.1,174762.0,12081.0,1
Home Mortgage,2 years,0.0,780384.0,0.0,0.0,0.0,debt consolidation,Short Term,173316.0,744.0,954275.0,10.0,13.2,327541.0,6457.0,0
Own Home,10+ years,0.0,432520.0,0.0,62.0,0.0,debt consolidation,Long Term,336270.0,677.0,1161660.0,12.0,16.0,303677.0,20135.0,1
Rent,5 years,0.0,737330.0,0.0,0.0,0.0,debt consolidation,Short Term,86240.0,738.0,2513453.0,11.0,12.5,545718.0,25386.0,0
Home Mortgage,5 years,0.0,624536.0,0.0,18.0,0.0,debt consolidation,Short Term,309606.0,747.0,1761281.0,7.0,17.3,365693.0,19667.0,0
Rent,10+ years,0.0,797874.0,0.0,0.0,0.0,debt consolidation,Short Term,308616.0,731.0,1650134.7490509572,8.0,13.1,360392.0,35030.0,0
Rent,< 1 year,0.0,475618.0,0.0,66.0,0.0,debt consolidation,Short Term,626538.0,730.0,2415622.0,17.0,15.9,208449.0,36436.0,0
Rent,10+ years,0.0,698148.0,1.0,14.0,0.0,debt consolidation,Short Term,352660.0,732.0,1522888.0,17.0,18.5,320169.0,16009.0,0
Home Mortgage,5 years,0.0,527032.0,0.0,0.0,0.0,debt consolidation,Short Term,159984.0,738.0,1030370.0,14.0,14.8,430141.0,24901.0,1
Home Mortgage,3 years,0.0,152900.0,2.0,17.0,1.0,debt consolidation,Short Term,243650.0,734.0,1052106.0,9.0,14.6,101156.0,15431.0,1
Own Home,10+ years,0.0,786060.0,0.0,0.0,0.0,debt consolidation,Long Term,606518.0,731.0,1768785.2054266918,11.0,21.4,651700.0,30553.0,1
Have Mortgage,3 years,0.0,839938.0,1.0,0.0,1.0,take a trip,Short Term,130240.0,716.0,1160463.0,10.0,20.6,289446.0,19631.0,0
Home Mortgage,4 years,0.0,1242010.0,0.0,0.0,0.0,debt consolidation,Short Term,208098.0,751.0,1955442.0,15.0,13.3,65436.0,20532.0,0
Home Mortgage,8 years,0.0,409662.0,0.0,0.0,0.0,debt consolidation,Short Term,258676.0,731.0,1368864.9481024197,9.0,27.1,345667.0,15340.0,0
Home Mortgage,3 years,0.0,475618.0,0.0,29.0,0.0,debt consolidation,Short Term,463518.0,731.0,1319106.5410803189,10.0,26.8,208449.0,16009.0,1
Home Mortgage,10+ years,0.0,345664.0,1.0,0.0,1.0,debt consolidation,Short Term,309606.0,710.0,1217957.0,11.0,27.6,223896.0,8110.0,0
Rent,10+ years,0.0,263934.0,0.0,70.0,0.0,debt consolidation,Long Term,111848.0,731.0,1172939.284570985,6.0,17.0,60173.0,16918.0,0
Home Mortgage,8 years,0.0,817278.0,0.0,0.0,0.0,debt consolidation,Short Term,217932.0,744.0,1411605.0,9.0,18.2,431281.0,22586.0,1
Rent,7 years,0.0,393206.0,0.0,33.0,0.0,debt consolidation,Short Term,380182.0,721.0,922659.0,7.0,14.1,270978.0,17884.0,0
Rent,10+ years,0.0,664334.0,0.0,0.0,0.0,debt consolidation,Short Term,408562.0,725.0,761387.0,12.0,19.5,389576.0,11484.0,0
Home Mortgage,6 years,0.0,475618.0,0.0,0.0,0.0,debt consolidation,Short Term,531124.0,751.0,1108498.0,9.0,18.0,609577.0,27435.0,0
Home Mortgage,10+ years,0.0,583242.0,0.0,0.0,0.0,debt consolidation,Short Term,335390.0,735.0,868946.0,10.0,17.0,258913.0,16075.0,1
Own Home,10+ years,0.0,187704.0,0.0,0.0,0.0,debt consolidation,Short Term,309606.0,6630.0,1170590.0,10.0,17.0,41021.00000000003,16009.0,1
Home Mortgage,2 years,0.0,194964.0,1.0,0.0,1.0,debt consolidation,Short Term,309606.0,746.0,1133388.0,8.0,14.6,49001.0,7329.0,0
Home Mortgage,9 years,0.0,193534.0,0.0,0.0,0.0,debt consolidation,Short Term,309606.0,731.0,1012581.5402234845,13.0,13.0,136401.0,9713.0,1
Home Mortgage,7 years,0.0,236984.0,0.0,10.0,0.0,debt consolidation,Long Term,270468.0,692.0,1265267.0,10.0,21.4,50958.0,13496.0,0
Rent,< 1 year,0.0,1305392.0,0.0,0.0,0.0,debt consolidation,Long Term,616242.0,731.0,1298370.553442356,19.0,14.5,446443.0,16009.0,1
Home Mortgage,10+ years,0.0,781616.0,0.0,0.0,0.0,debt consolidation,Long Term,450076.0,731.0,1284780.0,6.0,13.1,250439.0,18415.0,1
Home Mortgage,5 years,0.0,378774.0,0.0,0.0,0.0,debt consolidation,Short Term,180246.0,731.0,1229897.2182754686,16.0,18.4,205105.0,15936.0,0
Home Mortgage,10+ years,0.0,663894.0,0.0,44.0,0.0,debt consolidation,Long Term,585090.0,697.0,1651993.0,11.0,26.5,252852.0,8742.0,0
Rent,3 years,0.0,671176.0,0.0,0.0,0.0,debt consolidation,Short Term,290686.0,748.0,1197323.0,17.0,12.0,213902.0,17660.0,0
Rent,4 years,0.0,475618.0,0.0,39.0,0.0,debt consolidation,Long Term,785708.0,7280.0,2093857.0,17.0,18.0,725059.0,35421.0,1
Home Mortgage,10+ years,0.0,317328.0,0.0,23.0,0.0,debt consolidation,Short Term,262548.0,736.0,1568336.0,8.0,16.5,240901.0,7410.0,0
Home Mortgage,10+ years,0.0,547602.0,0.0,0.0,0.0,buy house,Short Term,195448.0,748.0,911924.0,10.0,12.099999999999998,93632.0,13527.0,1
Home Mortgage,10+ years,0.0,583242.0,0.0,0.0,0.0,debt consolidation,Short Term,335390.0,735.0,868946.0,10.0,17.0,258913.0,16075.0,1
Own Home,4 years,0.0,475618.0,0.0,0.0,0.0,buy a car,Short Term,150480.0,745.0,2228016.0,15.0,27.4,208449.0,16009.0,0
Own Home,3 years,0.0,793122.0,0.0,0.0,0.0,other,Short Term,309606.0,706.0,870998.0,11.0,11.4,252073.0,10016.0,0
Own Home,10+ years,0.0,363220.0,1.0,0.0,1.0,debt consolidation,Short Term,190388.0,738.0,1170590.0,9.0,23.4,123595.0,8046.0,1
Rent,3 years,0.0,475618.0,0.0,10.0,0.0,buy a car,Long Term,108658.0,739.0,713127.0,9.0,17.7,208449.0,10114.0,0
Rent,10+ years,0.0,220176.0,0.0,0.0,0.0,debt consolidation,Short Term,76230.0,731.0,1175371.4499693774,7.0,17.0,109326.0,16009.0,1
Rent,3 years,0.0,322762.0,0.0,15.0,0.0,debt consolidation,Short Term,464486.0,733.0,1022637.0,7.0,14.1,252833.0,8156.0,0
Home Mortgage,4 years,0.0,692340.0,0.0,0.0,0.0,debt consolidation,Short Term,223432.0,7460.0,1389337.0,9.0,28.9,452029.0,26861.0,1
Rent,8 years,0.0,250932.0,0.0,37.0,0.0,other,Short Term,110022.0,720.0,608057.0,11.0,28.6,59374.99999999997,9222.0,1
Own Home,2 years,0.0,532158.0,0.0,16.0,0.0,debt consolidation,Short Term,181742.0,731.0,1105626.7465941787,11.0,17.0,179246.0,11273.0,0
Home Mortgage,< 1 year,0.0,255442.0,0.0,35.0,0.0,major purchase,Short Term,332970.0,731.0,1257423.5457690572,16.0,22.6,166991.0,16009.0,1
Rent,10+ years,0.0,954998.0,0.0,0.0,0.0,debt consolidation,Short Term,270226.0,744.0,1264146.0,18.0,15.5,317528.0,30972.0,0
Rent,10+ years,0.0,251856.0,1.0,67.0,1.0,debt consolidation,Long Term,433840.0,731.0,1175156.8259768477,9.0,19.1,107464.0,15034.0,0
Home Mortgage,4 years,0.0,475618.0,0.0,0.0,0.0,debt consolidation,Long Term,246466.0,731.0,1093555.571650674,14.0,15.2,368676.0,7622.0,1
Home Mortgage,9 years,0.0,520476.0,1.0,63.0,0.0,debt consolidation,Short Term,309606.0,735.0,525236.0,11.0,22.1,83163.0,13437.0,0
Home Mortgage,10+ years,0.0,565378.0,0.0,0.0,0.0,debt consolidation,Short Term,207350.0,747.0,746168.0,11.0,16.6,206530.0,10322.0,0
Rent,4 years,0.0,499026.0,0.0,0.0,0.0,debt consolidation,Short Term,554510.0,732.0,1877181.0,10.0,13.6,331854.0,27688.0,1
Rent,2 years,0.0,294030.0,0.0,32.0,0.0,other,Short Term,129976.0,731.0,1338793.8011814833,6.0,28.7,208449.0,16009.0,0
Own Home,7 years,0.0,475618.0,0.0,0.0,0.0,debt consolidation,Short Term,309606.0,739.0,2329875.0,10.0,16.2,89015.0,15765.0,0
Own Home,10+ years,0.0,390148.0,0.0,0.0,0.0,debt consolidation,Short Term,222970.0,7260.0,673987.0,8.0,13.5,305938.0,15445.0,1
Rent,10+ years,0.0,259468.0,1.0,0.0,1.0,debt consolidation,Short Term,156860.0,731.0,1158688.4422474506,7.0,17.8,36746.0,16354.0,0
Home Mortgage,8 years,0.0,818048.0,0.0,8.0,0.0,debt consolidation,Long Term,325292.0,708.0,1170590.0,6.0,26.2,132829.0,24148.0,0
Home Mortgage,10+ years,0.0,352396.0,1.0,22.0,0.0,debt consolidation,Short Term,309606.0,731.0,1104168.819374784,9.0,18.0,267824.0,8865.0,0
Home Mortgage,6 years,0.0,1276770.0,0.0,0.0,0.0,buy a car,Short Term,309606.0,748.0,1121836.0,10.0,19.0,208449.0,4740.0,0
Home Mortgage,4 years,0.0,209484.0,2.0,0.0,2.0,home improvements,Short Term,196658.0,675.0,656640.0,13.0,13.0,95342.0,10397.0,1
Home Mortgage,10+ years,0.0,1115114.0,0.0,0.0,0.0,debt consolidation,Short Term,264572.0,741.0,1770895.0,19.0,10.1,471903.0,24350.0,0
Home Mortgage,10+ years,0.0,551034.0,1.0,0.0,1.0,home improvements,Long Term,324258.0,695.0,896135.0,15.0,28.2,109459.0,21134.0,1
Rent,2 years,0.0,679118.0,0.0,0.0,0.0,debt consolidation,Long Term,531124.0,721.0,1242296.0,18.0,21.3,313785.0,18531.0,0
Rent,6 years,0.0,1480182.0,0.0,32.0,0.0,debt consolidation,Short Term,120670.0,750.0,1395645.0,15.0,17.6,58805.00000000003,10200.0,0
Home Mortgage,6 years,0.0,143748.0,0.0,35.0,0.0,debt consolidation,Short Term,331694.0,7020.0,1145814.0,10.0,25.8,107521.0,14036.0,1
Home Mortgage,3 years,0.0,372152.0,1.0,0.0,1.0,debt consolidation,Short Term,220726.0,738.0,1181895.0,14.0,17.0,186409.0,21077.0,0
Home Mortgage,1 year,0.0,239800.0,0.0,0.0,0.0,debt consolidation,Long Term,309606.0,701.0,866476.0,15.0,12.9,130890.99999999999,11770.0,0
Rent,6 years,0.0,330176.0,0.0,17.0,0.0,debt consolidation,Short Term,176286.0,694.0,1170590.0,9.0,10.3,124602.0,6968.0,1
Rent,9 years,0.0,392348.0,0.0,32.0,0.0,debt consolidation,Long Term,286726.0,693.0,628748.0,11.0,12.6,197543.0,19596.0,1
Home Mortgage,< 1 year,0.0,276584.0,0.0,32.0,0.0,debt consolidation,Long Term,324610.0,699.0,639730.0,7.0,17.6,125400.0,9543.0,1
Home Mortgage,2 years,0.0,1705550.0,0.0,11.0,0.0,home improvements,Short Term,435820.0,713.0,1365188.0,16.0,21.6,138453.0,5210.0,0
Home Mortgage,1 year,0.0,242594.0,0.0,0.0,0.0,debt consolidation,Short Term,136620.0,7060.0,1132704.0,10.0,19.7,200507.0,18878.0,1
Home Mortgage,4 years,0.0,148346.0,0.0,0.0,0.0,other,Short Term,309606.0,728.0,661618.0,10.0,17.0,208449.0,16009.0,0
Rent,1 year,3.0,543906.0,4.0,26.0,1.0,debt consolidation,Short Term,296120.0,731.0,1029107.5055046472,10.0,16.0,37582.0,11103.0,1
Rent,1 year,0.0,354882.0,0.0,0.0,0.0,debt consolidation,Short Term,309606.0,724.0,1170590.0,6.0,11.600000000000001,281656.0,7322.0,1
Rent,6 years,0.0,369226.0,0.0,0.0,0.0,debt consolidation,Short Term,228206.0,722.0,676305.0,11.0,16.7,244568.0,14428.0,1
Home Mortgage,4 years,0.0,481844.0,0.0,0.0,0.0,debt consolidation,Short Term,309606.0,749.0,1022105.0,7.0,18.2,60344.0,20272.0,0
Home Mortgage,3 years,0.0,475618.0,0.0,38.0,0.0,home improvements,Long Term,392788.0,690.0,1170590.0,6.0,14.2,208449.0,19902.0,0
Home Mortgage,7 years,0.0,358292.0,0.0,39.0,0.0,debt consolidation,Long Term,323708.0,671.0,950494.0,14.0,14.9,228969.0,17980.0,1
Home Mortgage,5 years,0.0,522104.0,1.0,61.0,1.0,debt consolidation,Long Term,436524.0,717.0,1808800.0,7.0,23.3,257013.0,19897.0,0
Own Home,< 1 year,0.0,335984.0,1.0,29.0,1.0,debt consolidation,Short Term,153604.0,740.0,663271.0,12.0,18.7,170924.0,9783.0,0
Home Mortgage,10+ years,0.0,460790.0,0.0,7.0,0.0,debt consolidation,Short Term,329802.0,731.0,1368389.1998057084,10.0,29.5,257469.0,16009.0,1
Home Mortgage,10+ years,0.0,952930.0,0.0,0.0,0.0,debt consolidation,Short Term,335742.0,747.0,1256489.0,12.0,28.2,334134.0,17905.0,0
Rent,1 year,0.0,840752.0,0.0,0.0,0.0,debt consolidation,Short Term,299002.0,7260.0,862353.0,19.0,16.5,336908.0,16241.0,1
Rent,10+ years,0.0,342782.0,0.0,0.0,0.0,debt consolidation,Short Term,106656.0,6150.0,1170590.0,11.0,14.7,240692.0,10093.0,1
Home Mortgage,10+ years,0.0,463452.0,0.0,41.0,0.0,debt consolidation,Short Term,217932.0,731.0,1357198.0404199865,14.0,17.0,108471.0,24625.0,0
Home Mortgage,2 years,0.0,549626.0,0.0,7.0,0.0,debt consolidation,Short Term,309694.0,734.0,1300208.0,6.0,15.7,108699.0,13002.0,1
Own Home,2 years,0.0,329054.0,0.0,0.0,0.0,debt consolidation,Short Term,154132.0,695.0,665532.0,10.0,17.0,149188.0,16009.0,1
Rent,2 years,0.0,314578.0,2.0,0.0,2.0,debt consolidation,Short Term,309606.0,738.0,907098.0,11.0,12.0,208449.0,14211.0,0
Home Mortgage,7 years,1.0,475618.0,1.0,21.0,0.0,debt consolidation,Short Term,306284.0,740.0,1170590.0,10.0,22.0,208449.0,16009.0,0
Home Mortgage,7 years,0.0,582582.0,0.0,0.0,0.0,debt consolidation,Long Term,352902.0,6320.0,1206101.0,14.0,17.0,287793.0,22614.0,1
Own Home,10+ years,0.0,1277364.0,0.0,32.0,0.0,home improvements,Short Term,674322.0,725.0,1766525.0,12.0,17.1,77216.0,4151.0,0
Rent,3 years,0.0,247258.0,0.0,0.0,0.0,debt consolidation,Short Term,173404.0,741.0,561621.0,13.0,11.0,131556.0,8012.0,0
Rent,2 years,0.0,906510.0,0.0,0.0,0.0,debt consolidation,Long Term,569470.0,685.0,1397222.0,11.0,9.3,191805.0,14904.0,1
Own Home,6 years,0.0,943536.0,0.0,0.0,0.0,debt consolidation,Long Term,493944.0,731.0,1524690.784132901,11.0,16.4,454708.0,25566.0,1
Rent,2 years,0.0,1148422.0,0.0,0.0,0.0,debt consolidation,Long Term,667524.0,6410.0,1154934.0,13.0,18.8,208449.0,29932.0,1
Own Home,10+ years,0.0,389598.0,0.0,27.0,0.0,debt consolidation,Short Term,227216.0,710.0,579348.0,7.0,17.0,287337.0,8642.0,0
Home Mortgage,10+ years,0.0,1634864.0,0.0,66.0,0.0,debt consolidation,Short Term,309606.0,742.0,1572858.0,10.0,19.9,652308.0,15204.0,0
Home Mortgage,8 years,0.0,582450.0,0.0,33.0,0.0,debt consolidation,Short Term,672826.0,738.0,1299543.0,14.0,15.8,334001.0,22742.0,0
Rent,< 1 year,0.0,207724.0,0.0,0.0,0.0,debt consolidation,Short Term,216348.0,715.0,691334.0,7.0,15.0,172919.0,10255.0,1
Rent,3 years,0.0,411466.0,0.0,50.0,0.0,debt consolidation,Long Term,241340.0,700.0,1071353.0,7.0,17.0,152095.0,10714.0,0
Rent,2 years,0.0,908468.0,1.0,25.0,1.0,debt consolidation,Short Term,220704.0,7300.0,673987.0,10.0,20.4,400919.0,18759.0,1
Rent,2 years,0.0,858242.0,0.0,0.0,0.0,debt consolidation,Short Term,152768.0,743.0,1319360.0,10.0,13.5,340955.0,19241.0,0
Rent,5 years,0.0,396044.0,1.0,0.0,1.0,debt consolidation,Short Term,309606.0,723.0,898092.0,13.0,18.3,187777.0,22976.0,0
Rent,6 years,0.0,416636.0,0.0,17.0,0.0,debt consolidation,Short Term,111342.0,7480.0,605796.0,13.0,9.4,176320.0,14337.0,1
Rent,2 years,0.0,1583802.0,0.0,15.0,0.0,medical bills,Short Term,309606.0,721.0,1387152.0,16.0,17.0,452751.0,20461.0,0
Rent,10+ years,0.0,701206.0,0.0,12.0,0.0,home improvements,Long Term,445632.0,680.0,877059.0,9.0,17.0,344584.0,12206.0,1
Home Mortgage,< 1 year,0.0,572484.0,0.0,0.0,0.0,debt consolidation,Long Term,400994.0,731.0,1289162.7764415226,10.0,24.2,354996.0,12786.0,1
Own Home,9 years,0.0,475618.0,0.0,0.0,0.0,debt consolidation,Short Term,244684.0,742.0,1328575.0,8.0,17.7,208449.0,22364.0,1
Home Mortgage,2 years,0.0,210606.0,0.0,32.0,0.0,debt consolidation,Short Term,310376.0,731.0,965683.9516825709,10.0,14.2,120783.0,7240.0,0
Rent,8 years,0.0,257774.0,0.0,19.0,0.0,debt consolidation,Short Term,315326.0,7320.0,701461.0,9.0,19.3,134463.0,15725.0,1
