Home Ownership,Years in current job,Tax Liens,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Bankruptcies,Purpose,Term,Current Loan Amount,Credit Score,Annual Income,Number of Open Accounts,Years of Credit History,Current Credit Balance,Monthly Debt,Credit Default
Rent,2 years,0.0,475618.0,0.0,32.0,0.0,debt consolidation,Short Term,456808.0,732.0,739005.0,10.0,18.3,607486.9999999999,9669.0,1
Home Mortgage,8 years,0.0,513524.0,1.0,32.0,1.0,debt consolidation,Long Term,333630.0,734.0,1170590.0,10.0,17.0,308674.0,38930.0,0
Home Mortgage,4 years,0.0,283030.0,0.0,0.0,0.0,debt consolidation,Short Term,217668.0,741.0,1691874.0,12.0,14.6,191881.0,26083.0,0
Home Mortgage,7 years,0.0,485276.0,1.0,70.0,1.0,other,Short Term,309606.0,697.0,1619199.0,13.0,19.0,347434.0,15922.0,0
Rent,5 years,0.0,193094.0,1.0,0.0,1.0,debt consolidation,Long Term,239778.0,7240.0,1016557.0,10.0,29.5,36689.0,7099.0,1
Home Mortgage,10+ years,0.0,359084.0,0.0,72.0,0.0,debt consolidation,Short Term,328482.0,731.0,1467866.4738021684,8.0,19.2,142329.0,26793.0,0
Own Home,10+ years,0.0,238436.0,0.0,0.0,0.0,debt consolidation,Short Term,184008.0,6570.0,1508049.0,10.0,13.7,163704.0,13698.0,1
Home Mortgage,7 years,0.0,249326.0,0.0,48.0,0.0,debt consolidation,Short Term,129954.0,743.0,823042.0,10.0,14.6,107882.0,9122.0,0
Own Home,7 years,0.0,718806.0,0.0,29.0,0.0,debt consolidation,Short Term,110176.0,745.0,951520.0,14.0,14.0,54017.0,7430.0,0
Rent,8 years,0.0,475618.0,0.0,13.0,0.0,debt consolidation,Short Term,309606.0,726.0,1901520.0,14.0,14.0,208449.0,22026.0,0
Home Mortgage,< 1 year,0.0,218240.0,0.0,0.0,0.0,buy a car,Short Term,176396.0,731.0,1080618.9006966795,12.0,14.3,173394.0,11939.0,0
Rent,6 years,0.0,652146.0,0.0,0.0,0.0,debt consolidation,Short Term,308440.0,740.0,1046463.0,16.0,13.0,229235.0,30522.0,1
Rent,3 years,0.0,240130.0,1.0,54.0,1.0,debt consolidation,Short Term,134750.0,742.0,969855.0,12.0,11.2,107844.0,19720.0,0
Rent,10+ years,0.0,209110.0,0.0,33.0,0.0,debt consolidation,Short Term,239426.0,741.0,991990.0,9.0,16.5,41363.0,12086.0,0
Rent,10+ years,0.0,353452.0,1.0,0.0,1.0,debt consolidation,Short Term,234344.0,717.0,1143116.0,8.0,15.9,193230.0,17338.0,0
Home Mortgage,10+ years,0.0,749562.0,0.0,37.0,0.0,debt consolidation,Short Term,418000.0,731.0,1367104.302669125,10.0,18.7,362501.0,20542.0,1
Own Home,7 years,0.0,475618.0,0.0,0.0,0.0,debt consolidation,Long Term,232518.0,737.0,1091436.0,10.0,16.7,151791.0,11915.0,0
Own Home,4 years,0.0,475618.0,0.0,34.0,0.0,debt consolidation,Short Term,309606.0,703.0,1170590.0,10.0,17.0,55005.0,16009.0,0
Rent,7 years,0.0,221430.0,0.0,0.0,0.0,debt consolidation,Long Term,214962.0,678.0,835430.0,8.0,13.4,147839.0,10304.0,0
Own Home,< 1 year,0.0,568810.0,0.0,0.0,0.0,debt consolidation,Short Term,180400.0,719.0,1168500.0,10.0,10.9,184205.0,10906.0,0
Rent,1 year,0.0,242088.0,0.0,0.0,0.0,debt consolidation,Short Term,82126.0,717.0,2015672.0,8.0,24.0,157016.0,23180.0,0
Home Mortgage,10+ years,0.0,1033692.0,0.0,0.0,0.0,home improvements,Long Term,570284.0,737.0,1170590.0,14.0,24.6,392806.0,16009.0,0
Rent,10+ years,0.0,1417900.0,0.0,60.0,0.0,other,Long Term,771232.0,731.0,1317983.193077101,8.0,22.8,405327.0,16009.0,0
Home Mortgage,10+ years,0.0,532312.0,0.0,0.0,0.0,home improvements,Long Term,309606.0,743.0,1330209.0,13.0,25.3,247342.0,13080.0,0
Home Mortgage,2 years,0.0,1013760.0,0.0,0.0,0.0,debt consolidation,Long Term,505252.0,725.0,975555.0,17.0,13.6,275785.0,18292.0,0
Home Mortgage,< 1 year,0.0,352154.0,0.0,0.0,0.0,debt consolidation,Short Term,326282.0,731.0,972375.1388708951,6.0,15.9,214415.0,5150.0,1
Rent,2 years,0.0,353320.0,0.0,54.0,0.0,debt consolidation,Short Term,187286.0,733.0,924217.0,12.0,14.0,88502.00000000003,6354.0,0
Own Home,10+ years,0.0,895158.0,0.0,18.0,0.0,debt consolidation,Short Term,449372.0,731.0,1247597.1884977457,16.0,16.2,324691.0,17606.0,0
Home Mortgage,8 years,0.0,603174.0,0.0,45.0,0.0,debt consolidation,Short Term,225192.0,710.0,1166904.0,14.0,20.1,431319.0,10308.0,0
Rent,< 1 year,0.0,319330.0,0.0,0.0,0.0,debt consolidation,Short Term,309606.0,751.0,1267319.0,10.0,13.5,147269.0,16264.0,0
Rent,7 years,0.0,110682.0,0.0,32.0,0.0,debt consolidation,Short Term,309606.0,729.0,1816020.0,9.0,24.0,208449.0,16344.0,0
Home Mortgage,10+ years,0.0,934274.0,0.0,0.0,0.0,debt consolidation,Long Term,703076.0,731.0,1369391.6869034749,11.0,17.0,585789.0,19108.0,0
Home Mortgage,3 years,0.0,372460.0,0.0,24.0,0.0,debt consolidation,Short Term,399278.0,731.0,1812344.7053166914,15.0,25.1,181754.0,40391.0,0
Home Mortgage,10+ years,0.0,440902.0,1.0,0.0,1.0,debt consolidation,Short Term,129074.0,732.0,1387798.0,8.0,17.9,31597.0,23940.0,0
Home Mortgage,10+ years,0.0,475618.0,0.0,32.0,0.0,debt consolidation,Short Term,695068.0,731.0,1392464.8232939048,10.0,29.4,503576.0,16009.0,1
Home Mortgage,10+ years,0.0,1324840.0,0.0,0.0,0.0,debt consolidation,Short Term,309606.0,733.0,1530792.0,13.0,27.4,613282.0,21176.0,0
Rent,6 years,0.0,427372.0,0.0,0.0,0.0,business loan,Short Term,309606.0,751.0,840541.0,6.0,14.8,208449.0,16009.0,0
Home Mortgage,4 years,0.0,621808.0,0.0,9.0,0.0,debt consolidation,Short Term,356708.0,744.0,2118006.0,10.0,27.4,331873.0,12443.0,0
Home Mortgage,10+ years,0.0,136092.0,0.0,0.0,0.0,debt consolidation,Short Term,111584.0,740.0,1170590.0,7.0,17.0,50540.0,16009.0,0
Own Home,10+ years,0.0,1042624.0,0.0,0.0,0.0,debt consolidation,Short Term,197428.0,7450.0,684646.0,17.0,18.2,264727.0,14948.0,1
Home Mortgage,8 years,0.0,470734.0,0.0,0.0,0.0,debt consolidation,Long Term,431904.0,681.0,1119024.0,11.0,29.5,323608.0,16599.0,0
Home Mortgage,2 years,0.0,1043504.0,0.0,0.0,0.0,debt consolidation,Short Term,265210.0,746.0,1736961.0,11.0,14.3,208449.0,36042.0,0
Home Mortgage,1 year,0.0,1359578.0,0.0,31.0,0.0,debt consolidation,Short Term,783244.0,739.0,1642778.0,13.0,21.0,549518.0,20809.0,0
Rent,10+ years,0.0,140470.0,0.0,0.0,0.0,debt consolidation,Short Term,111474.0,712.0,1170590.0,8.0,17.0,61256.0,16009.0,0
Rent,10+ years,0.0,473352.0,0.0,32.0,0.0,debt consolidation,Long Term,308484.0,668.0,1408242.0,11.0,12.3,147573.0,21358.0,0
Rent,10+ years,0.0,721248.0,0.0,0.0,0.0,debt consolidation,Short Term,275594.0,731.0,1279093.5916858264,16.0,21.1,500802.0,15230.0,1
Home Mortgage,10+ years,0.0,679734.0,0.0,6.0,0.0,debt consolidation,Short Term,309606.0,747.0,1279973.0,8.0,26.1,301739.0,7776.0,0
Home Mortgage,1 year,0.0,749210.0,0.0,0.0,0.0,debt consolidation,Long Term,527296.0,713.0,1046425.0,11.0,11.3,505343.0,12034.0,0
Home Mortgage,7 years,0.0,220242.0,0.0,28.0,0.0,home improvements,Short Term,309606.0,722.0,1536568.0,13.0,13.5,147801.0,15878.0,0
Home Mortgage,4 years,0.0,586256.0,0.0,0.0,0.0,home improvements,Short Term,309606.0,736.0,1804810.0,12.0,31.8,360506.0,16845.0,0
Home Mortgage,4 years,0.0,671418.0,0.0,32.0,0.0,debt consolidation,Short Term,145464.0,731.0,1719727.531234031,14.0,16.5,451706.0,36644.0,0
Home Mortgage,10+ years,0.0,179168.0,0.0,0.0,0.0,debt consolidation,Short Term,218548.0,708.0,871169.0,7.0,16.2,63289.0,22505.0,1
Home Mortgage,< 1 year,0.0,217998.0,0.0,0.0,0.0,debt consolidation,Short Term,435996.0,746.0,1694439.0,8.0,11.9,142899.0,21604.0,0
Home Mortgage,10+ years,0.0,475618.0,0.0,40.0,0.0,debt consolidation,Short Term,788634.0,731.0,1216826.6495092595,10.0,17.5,208449.0,16009.0,0
Rent,3 years,0.0,432080.0,0.0,49.0,0.0,debt consolidation,Short Term,322674.0,731.0,1485078.8909222393,11.0,10.8,276146.0,29888.0,0
Home Mortgage,10+ years,0.0,627528.0,1.0,0.0,1.0,other,Short Term,309606.0,749.0,1726245.0,13.0,22.5,42275.0,16399.0,0
Rent,6 years,0.0,538362.0,0.0,0.0,0.0,debt consolidation,Long Term,542630.0,696.0,1874540.0,7.0,13.5,438444.0,22807.0,1
Rent,1 year,0.0,208736.0,0.0,0.0,0.0,debt consolidation,Short Term,309606.0,728.0,759544.0,17.0,17.0,133228.0,7406.0,0
Own Home,1 year,0.0,406626.0,0.0,0.0,0.0,debt consolidation,Short Term,309606.0,745.0,801116.0,6.0,9.2,243371.0,12284.0,0
Rent,3 years,0.0,439274.0,0.0,32.0,0.0,buy a car,Long Term,319880.0,695.0,1151058.0,12.0,17.5,117990.0,14292.0,1
Home Mortgage,10+ years,0.0,1132406.0,0.0,0.0,0.0,debt consolidation,Short Term,309606.0,730.0,861308.0,6.0,20.7,755972.0,18662.0,0
Home Mortgage,6 years,0.0,536382.0,0.0,0.0,0.0,debt consolidation,Long Term,421080.0,691.0,2334150.0,8.0,10.9,303430.0,29566.0,0
Home Mortgage,10+ years,0.0,258258.0,0.0,41.0,0.0,debt consolidation,Short Term,131428.0,737.0,964744.0,9.0,25.0,141189.0,13908.0,0
Home Mortgage,5 years,0.0,303446.0,0.0,0.0,0.0,debt consolidation,Long Term,381612.0,731.0,985458.3896150285,8.0,13.8,221445.0,6790.0,0
Rent,2 years,0.0,287540.0,0.0,0.0,0.0,debt consolidation,Short Term,79618.0,731.0,995538.383314118,7.0,10.2,139061.0,9344.0,0
Rent,7 years,0.0,748792.0,0.0,8.0,0.0,debt consolidation,Short Term,309606.0,746.0,1527296.0,11.0,15.7,254790.0,6644.0,0
Home Mortgage,10+ years,0.0,655358.0,0.0,0.0,0.0,debt consolidation,Short Term,323312.0,743.0,1303001.0,9.0,18.8,258096.0,25191.0,1
Home Mortgage,9 years,0.0,1389630.0,0.0,0.0,0.0,debt consolidation,Short Term,110308.0,745.0,1181306.0,8.0,20.5,208449.0,23921.0,0
Rent,6 years,0.0,358732.0,0.0,0.0,0.0,debt consolidation,Short Term,293876.0,731.0,1206152.497777442,9.0,17.0,180937.0,15863.0,0
Rent,< 1 year,0.0,240526.0,1.0,0.0,1.0,debt consolidation,Short Term,309606.0,685.0,1170590.0,7.0,26.0,77273.0,16009.0,0
Home Mortgage,3 years,0.0,1113222.0,0.0,0.0,0.0,debt consolidation,Short Term,239712.0,731.0,1631303.4173356276,12.0,19.5,460522.0,31165.0,0
Home Mortgage,10+ years,0.0,432036.0,0.0,32.0,0.0,debt consolidation,Short Term,768306.0,713.0,1170590.0,11.0,14.7,188423.0,18347.0,0
Home Mortgage,6 years,0.0,475618.0,0.0,0.0,0.0,debt consolidation,Short Term,630960.0,748.0,1595867.0,17.0,17.0,750139.0,16225.0,0
Rent,4 years,0.0,459316.0,1.0,18.0,1.0,other,Short Term,309606.0,733.0,676913.0,10.0,14.8,93214.0,11789.0,0
Home Mortgage,2 years,0.0,130328.0,2.0,0.0,2.0,home improvements,Short Term,204864.0,621.0,969475.0,6.0,20.8,66861.0,16009.0,0
Home Mortgage,10+ years,0.0,639804.0,0.0,0.0,0.0,other,Short Term,153054.0,703.0,667850.0,11.0,15.5,488471.0,18700.0,0
Rent,2 years,0.0,141240.0,1.0,0.0,1.0,debt consolidation,Short Term,154022.0,731.0,979867.2391504487,10.0,14.7,208449.0,6651.0,1
Home Mortgage,10+ years,0.0,341594.0,0.0,23.0,0.0,debt consolidation,Long Term,553850.0,715.0,1377576.0,12.0,30.4,81719.0,22730.0,0
Rent,10+ years,0.0,753478.0,0.0,0.0,0.0,debt consolidation,Short Term,399322.0,743.0,1170590.0,14.0,22.3,446405.0,32983.0,0
Home Mortgage,< 1 year,0.0,475618.0,0.0,0.0,0.0,debt consolidation,Short Term,224268.0,731.0,1320404.296654724,16.0,19.8,255759.0,20143.0,0
Home Mortgage,4 years,0.0,929346.0,0.0,0.0,0.0,debt consolidation,Short Term,397276.0,747.0,1315199.0,10.0,20.5,340309.0,17426.0,0
Home Mortgage,5 years,0.0,1203334.0,0.0,0.0,0.0,debt consolidation,Long Term,461208.0,731.0,1304281.3901321806,9.0,27.0,208449.0,16009.0,1
Home Mortgage,10+ years,0.0,694562.0,0.0,0.0,0.0,debt consolidation,Long Term,492118.0,731.0,1277043.555822296,8.0,16.9,448077.0,16048.0,1
Own Home,10+ years,0.0,227062.0,0.0,40.0,0.0,debt consolidation,Short Term,96800.0,739.0,613016.0,7.0,13.5,208449.0,12618.0,0
Rent,2 years,0.0,943360.0,0.0,0.0,0.0,debt consolidation,Short Term,144958.0,737.0,597075.0,12.0,17.0,97774.0,16009.0,0
Rent,2 years,0.0,726572.0,0.0,0.0,0.0,other,Long Term,555566.0,731.0,1190709.2699203482,10.0,14.3,280497.0,15342.0,1
Rent,5 years,0.0,564806.0,1.0,0.0,1.0,debt consolidation,Short Term,649374.0,731.0,1237079.7516461236,8.0,13.9,174135.0,18344.0,1
Rent,9 years,0.0,539044.0,0.0,45.0,0.0,debt consolidation,Long Term,445082.0,731.0,1230103.937460722,10.0,14.4,293759.0,16900.0,1
Rent,10+ years,0.0,637098.0,0.0,0.0,0.0,debt consolidation,Long Term,395494.0,730.0,1005689.0,6.0,15.0,318022.0,13074.0,1
Home Mortgage,10+ years,0.0,279642.0,0.0,68.0,0.0,debt consolidation,Short Term,273108.0,7420.0,678889.0,12.0,17.0,150461.0,14483.0,1
Rent,4 years,0.0,296912.0,0.0,0.0,0.0,debt consolidation,Short Term,191356.0,745.0,634467.0,15.0,10.9,188727.0,16655.0,0
Rent,3 years,0.0,315238.0,0.0,0.0,0.0,debt consolidation,Short Term,249986.0,731.0,1163689.4444348807,8.0,10.0,257564.0,15745.0,0
Rent,5 years,0.0,369842.0,0.0,0.0,0.0,debt consolidation,Short Term,178376.0,729.0,962825.0,14.0,20.0,191634.0,6876.0,1
Rent,9 years,0.0,584540.0,0.0,48.0,0.0,debt consolidation,Long Term,549516.0,672.0,930164.0,9.0,26.3,460902.0,18681.0,1
Home Mortgage,< 1 year,0.0,1643906.0,0.0,68.0,0.0,debt consolidation,Long Term,443124.0,674.0,1435127.0,10.0,21.2,208449.0,28487.0,0
Home Mortgage,1 year,0.0,191818.0,0.0,0.0,0.0,debt consolidation,Short Term,130746.0,726.0,621053.0,9.0,9.1,128060.0,14957.0,0
Home Mortgage,10+ years,0.0,319066.0,1.0,33.0,1.0,debt consolidation,Short Term,177342.0,731.0,1044887.2665807864,7.0,17.5,139156.0,8679.0,0
Home Mortgage,< 1 year,0.0,349624.0,0.0,0.0,0.0,debt consolidation,Short Term,524678.0,747.0,1336650.0,15.0,21.6,137693.0,23391.0,0
Home Mortgage,10+ years,0.0,1344640.0,0.0,18.0,0.0,debt consolidation,Short Term,549890.0,746.0,1899620.0,13.0,20.8,581799.0,18363.0,1
Home Mortgage,10+ years,0.0,475618.0,0.0,0.0,0.0,debt consolidation,Short Term,698236.0,747.0,1170590.0,17.0,21.6,446424.0,24160.0,0
Rent,2 years,0.0,254958.0,0.0,0.0,0.0,debt consolidation,Short Term,178860.0,738.0,1170590.0,10.0,9.9,170639.0,5059.0,1
Rent,7 years,0.0,473462.0,0.0,0.0,0.0,other,Short Term,309606.0,735.0,848331.0,8.0,12.0,344698.0,12838.0,1
Rent,3 years,0.0,583704.0,1.0,0.0,1.0,debt consolidation,Short Term,309606.0,731.0,621490.0,17.0,29.1,161310.0,17765.0,0
Rent,1 year,0.0,397408.0,0.0,39.0,0.0,medical bills,Short Term,131824.0,731.0,1154959.2084551868,11.0,10.9,208449.0,16009.0,1
Rent,5 years,0.0,129976.0,0.0,0.0,0.0,debt consolidation,Short Term,89540.0,744.0,599374.0,7.0,16.0,53200.0,8291.0,0
Home Mortgage,5 years,0.0,224708.0,0.0,12.0,0.0,debt consolidation,Short Term,334752.0,740.0,2794672.0,12.0,13.4,98401.0,24221.0,1
Home Mortgage,10+ years,0.0,421784.0,0.0,32.0,0.0,debt consolidation,Short Term,226402.0,741.0,1044069.0,6.0,12.8,98344.0,3967.0,0
Rent,4 years,0.0,111166.0,0.0,0.0,0.0,major purchase,Short Term,109142.0,740.0,1602403.0,11.0,11.7,83904.0,26172.0,0
Rent,2 years,0.0,479534.0,0.0,6.0,0.0,debt consolidation,Short Term,239646.0,742.0,1505256.0,11.0,10.7,227791.0,19192.0,0
Rent,4 years,0.0,820512.0,0.0,0.0,0.0,debt consolidation,Long Term,430056.0,731.0,1051441.0,7.0,17.0,665380.0,21292.0,1
Home Mortgage,10+ years,0.0,580470.0,0.0,0.0,0.0,debt consolidation,Short Term,137522.0,730.0,1365359.0,11.0,14.5,409070.0,26966.0,1
Rent,2 years,0.0,650562.0,0.0,32.0,0.0,debt consolidation,Short Term,108372.0,731.0,1116116.6802359654,9.0,21.8,383743.0,7886.0,0
Rent,8 years,0.0,128700.0,0.0,0.0,0.0,debt consolidation,Short Term,221892.0,692.0,1245621.0,10.0,13.7,89034.0,16009.0,0
Rent,1 year,0.0,542718.0,0.0,0.0,0.0,other,Short Term,120186.0,731.0,1099562.1482343727,6.0,17.0,311220.0,9308.0,0
Home Mortgage,10+ years,0.0,716496.0,0.0,0.0,0.0,debt consolidation,Long Term,309606.0,733.0,1260270.0,9.0,20.7,402211.0,10733.0,0
Rent,< 1 year,0.0,258808.0,0.0,0.0,0.0,debt consolidation,Short Term,108042.0,696.0,991477.0,10.0,17.0,216353.0,6205.0,0
Rent,2 years,0.0,392282.0,0.0,68.0,0.0,debt consolidation,Long Term,433400.0,731.0,1386931.690218047,10.0,20.2,297464.0,21519.0,1
Home Mortgage,10+ years,0.0,529166.0,0.0,17.0,0.0,debt consolidation,Short Term,339834.0,700.0,1166220.0,15.0,16.4,245404.0,18271.0,0
Home Mortgage,10+ years,0.0,584606.0,0.0,0.0,0.0,other,Short Term,416900.0,738.0,1762782.0,6.0,16.8,208449.0,6361.0,0
Home Mortgage,10+ years,0.0,616902.0,0.0,0.0,0.0,home improvements,Short Term,782012.0,7240.0,1170590.0,13.0,13.5,442738.0,32603.0,1
Home Mortgage,10+ years,0.0,281182.0,0.0,0.0,0.0,home improvements,Short Term,260854.0,744.0,1126434.0,8.0,28.5,37145.0,6796.0,0
Home Mortgage,7 years,0.0,816706.0,0.0,0.0,0.0,debt consolidation,Long Term,418242.0,698.0,1197722.0,10.0,12.7,563578.0,28446.0,1
Home Mortgage,4 years,0.0,417054.0,0.0,21.0,0.0,debt consolidation,Short Term,366762.0,721.0,1414037.0,10.0,25.3,294994.0,16026.0,0
Own Home,10+ years,1.0,506154.0,1.0,0.0,0.0,debt consolidation,Short Term,309606.0,724.0,1407330.0,6.0,17.2,47214.99999999997,9523.0,0
Rent,9 years,0.0,282590.0,0.0,0.0,0.0,debt consolidation,Short Term,218922.0,725.0,1179786.0,10.0,9.1,196213.0,8435.0,0
Rent,3 years,0.0,420794.0,0.0,31.0,0.0,debt consolidation,Short Term,176242.0,731.0,1173975.1559295566,8.0,10.100000000000001,271833.0,16009.0,1
Home Mortgage,3 years,0.0,475618.0,0.0,32.0,0.0,other,Long Term,390148.0,634.0,1357113.0,9.0,19.4,208449.0,7713.0,0
Home Mortgage,7 years,0.0,195734.0,0.0,10.0,0.0,debt consolidation,Long Term,540034.0,671.0,1927721.0,19.0,13.5,93651.0,34056.0,0
Home Mortgage,2 years,0.0,868780.0,0.0,0.0,0.0,debt consolidation,Long Term,289850.0,731.0,1340146.7311762339,11.0,16.1,351899.0,20637.0,0
Rent,6 years,0.0,837122.0,0.0,0.0,0.0,debt consolidation,Short Term,305712.0,746.0,1681272.0,8.0,13.0,308712.0,31804.0,0
Home Mortgage,10+ years,0.0,752796.0,0.0,0.0,0.0,debt consolidation,Short Term,287650.0,750.0,1911020.0,10.0,12.4,247703.0,5255.0,0
Home Mortgage,4 years,0.0,454080.0,0.0,9.0,0.0,debt consolidation,Short Term,225016.0,738.0,1846154.0,14.0,13.6,189411.0,10877.0,0
Rent,10+ years,0.0,546590.0,0.0,0.0,0.0,other,Short Term,181324.0,731.0,1170590.0,10.0,13.0,54757.99999999997,16009.0,0
Rent,10+ years,0.0,220440.0,0.0,15.0,0.0,debt consolidation,Short Term,157124.0,731.0,1064260.9966967641,13.0,20.5,106799.0,9669.0,0
Rent,2 years,0.0,255442.0,0.0,0.0,0.0,debt consolidation,Short Term,269126.0,734.0,619799.0,7.0,17.0,72352.0,12603.0,0
Rent,2 years,0.0,383328.0,0.0,0.0,0.0,debt consolidation,Short Term,309606.0,741.0,785080.0,11.0,17.8,201286.0,11403.0,0
Home Mortgage,6 years,0.0,444488.0,0.0,8.0,0.0,debt consolidation,Short Term,777854.0,731.0,1569132.0526451236,8.0,19.1,364686.0,28950.0,0
Rent,5 years,0.0,865062.0,1.0,0.0,1.0,debt consolidation,Long Term,777238.0,632.0,2301432.0,10.0,14.6,184528.0,38741.0,0
Home Mortgage,10+ years,0.0,701558.0,0.0,0.0,0.0,home improvements,Short Term,309606.0,740.0,2025495.0,15.0,23.0,470174.0,16009.0,0
